line,type,issue,detail
1,normalize,date_normalized,"{""event_date"": ""2008-11-11T07:00:00Z""}"
2,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
3,normalize,date_normalized,"{""event_date"": ""2012-06-18T06:00:00Z""}"
4,normalize,date_normalized,"{""event_date"": ""2010-04-27T06:00:00Z""}"
5,normalize,date_normalized,"{""event_date"": ""2011-03-02T07:00:00Z""}"
6,normalize,date_normalized,"{""event_date"": ""2009-10-14T06:00:00Z""}"
7,normalize,date_normalized,"{""event_date"": ""2010-03-04T07:00:00Z""}"
8,normalize,date_normalized,"{""event_date"": ""2011-10-14T06:00:00Z""}"
9,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
10,normalize,date_normalized,"{""event_date"": ""2011-03-14T06:00:00Z""}"
11,normalize,date_normalized,"{""event_date"": ""2010-03-04T07:00:00Z""}"
12,normalize,date_normalized,"{""event_date"": ""2010-07-21T06:00:00Z""}"
13,normalize,date_normalized,"{""event_date"": ""2014-02-27T07:00:00Z""}"
14,normalize,date_normalized,"{""event_date"": ""2011-08-25T06:00:00Z""}"
15,normalize,date_normalized,"{""event_date"": ""2011-03-11T07:00:00Z""}"
16,normalize,date_normalized,"{""event_date"": ""2011-05-17T06:00:00Z""}"
17,normalize,date_normalized,"{""event_date"": ""2010-06-09T06:00:00Z""}"
18,normalize,date_normalized,"{""event_date"": ""2010-06-09T06:00:00Z""}"
19,normalize,date_normalized,"{""event_date"": ""2011-12-12T07:00:00Z""}"
20,normalize,date_normalized,"{""event_date"": ""2011-05-20T06:00:00Z""}"
21,normalize,date_normalized,"{""event_date"": ""2011-04-26T06:00:00Z""}"
22,normalize,date_normalized,"{""event_date"": ""2009-03-14T06:00:00Z""}"
23,normalize,date_normalized,"{""event_date"": ""2015-07-01T06:00:00Z""}"
24,normalize,date_normalized,"{""event_date"": ""2011-04-26T06:00:00Z""}"
25,normalize,date_normalized,"{""event_date"": ""2011-03-14T06:00:00Z""}"
26,normalize,date_normalized,"{""event_date"": ""2011-09-02T06:00:00Z""}"
27,normalize,date_normalized,"{""event_date"": ""2011-03-14T06:00:00Z""}"
28,normalize,date_normalized,"{""event_date"": ""2010-04-10T06:00:00Z""}"
29,normalize,date_normalized,"{""event_date"": ""2010-11-25T07:00:00Z""}"
30,normalize,date_normalized,"{""event_date"": ""2009-08-14T06:00:00Z""}"
31,normalize,date_normalized,"{""event_date"": ""2011-04-26T06:00:00Z""}"
32,normalize,date_normalized,"{""event_date"": ""2011-09-02T06:00:00Z""}"
33,normalize,date_normalized,"{""event_date"": ""2010-03-17T06:00:00Z""}"
34,normalize,date_normalized,"{""event_date"": ""2011-09-02T06:00:00Z""}"
35,normalize,date_normalized,"{""event_date"": ""2011-02-14T07:00:00Z""}"
36,normalize,date_normalized,"{""event_date"": ""2012-02-29T07:00:00Z""}"
37,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
38,normalize,date_normalized,"{""event_date"": ""2014-10-07T06:00:00Z""}"
39,normalize,date_normalized,"{""event_date"": ""2012-05-28T06:00:00Z""}"
40,normalize,date_normalized,"{""event_date"": ""2012-07-10T06:00:00Z""}"
41,normalize,date_normalized,"{""event_date"": ""2015-06-20T06:00:00Z""}"
42,normalize,date_normalized,"{""event_date"": ""2015-02-27T07:00:00Z""}"
43,normalize,date_normalized,"{""event_date"": ""2011-12-06T07:00:00Z""}"
44,normalize,date_normalized,"{""event_date"": ""2011-11-22T07:00:00Z""}"
45,normalize,date_normalized,"{""event_date"": ""2012-07-16T06:00:00Z""}"
46,normalize,date_normalized,"{""event_date"": ""2011-12-26T07:00:00Z""}"
47,normalize,date_normalized,"{""event_date"": ""2013-07-24T06:00:00Z""}"
48,normalize,date_normalized,"{""event_date"": ""2011-11-22T07:00:00Z""}"
49,normalize,date_normalized,"{""event_date"": ""2012-05-29T06:00:00Z""}"
50,normalize,date_normalized,"{""event_date"": ""2012-08-12T06:00:00Z""}"
51,normalize,date_normalized,"{""event_date"": ""2012-05-18T06:00:00Z""}"
52,normalize,date_normalized,"{""event_date"": ""2012-11-01T06:00:00Z""}"
53,normalize,date_normalized,"{""event_date"": ""2010-06-29T06:00:00Z""}"
54,normalize,date_normalized,"{""event_date"": ""2009-09-23T06:00:00Z""}"
55,normalize,date_normalized,"{""event_date"": ""2011-04-20T06:00:00Z""}"
56,normalize,date_normalized,"{""event_date"": ""2010-06-29T06:00:00Z""}"
57,normalize,date_normalized,"{""event_date"": ""2010-09-27T06:00:00Z""}"
58,normalize,date_normalized,"{""event_date"": ""2013-08-02T06:00:00Z""}"
59,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
60,normalize,date_normalized,"{""event_date"": ""2011-10-11T06:00:00Z""}"
61,normalize,date_normalized,"{""event_date"": ""2011-02-22T07:00:00Z""}"
62,normalize,date_normalized,"{""event_date"": ""2009-12-07T07:00:00Z""}"
63,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
64,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
65,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
66,normalize,date_normalized,"{""event_date"": ""2011-10-31T06:00:00Z""}"
67,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
68,normalize,date_normalized,"{""event_date"": ""2011-09-21T06:00:00Z""}"
69,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
70,normalize,date_normalized,"{""event_date"": ""2011-03-17T06:00:00Z""}"
71,normalize,date_normalized,"{""event_date"": ""2011-04-18T06:00:00Z""}"
72,normalize,date_normalized,"{""event_date"": ""2010-06-23T06:00:00Z""}"
73,normalize,date_normalized,"{""event_date"": ""2011-08-22T06:00:00Z""}"
74,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
75,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
76,normalize,date_normalized,"{""event_date"": ""2010-05-10T06:00:00Z""}"
77,normalize,date_normalized,"{""event_date"": ""2010-06-29T06:00:00Z""}"
78,normalize,date_normalized,"{""event_date"": ""2011-11-10T07:00:00Z""}"
79,normalize,date_normalized,"{""event_date"": ""2009-11-26T07:00:00Z""}"
80,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
81,normalize,date_normalized,"{""event_date"": ""2012-09-04T06:00:00Z""}"
82,normalize,date_normalized,"{""event_date"": ""2012-05-22T06:00:00Z""}"
83,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
84,normalize,date_normalized,"{""event_date"": ""2012-02-17T07:00:00Z""}"
85,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
86,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
87,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
88,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
89,normalize,date_normalized,"{""event_date"": ""2012-02-02T07:00:00Z""}"
90,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
91,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
92,normalize,date_normalized,"{""event_date"": ""2014-10-16T06:00:00Z""}"
93,normalize,date_normalized,"{""event_date"": ""2012-02-17T07:00:00Z""}"
94,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
95,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
96,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
97,normalize,date_normalized,"{""event_date"": ""2012-02-21T07:00:00Z""}"
98,normalize,date_normalized,"{""event_date"": ""2012-02-17T07:00:00Z""}"
99,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
100,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
101,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
102,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
103,normalize,date_normalized,"{""event_date"": ""2013-12-14T07:00:00Z""}"
104,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
105,normalize,date_normalized,"{""event_date"": ""2012-03-26T06:00:00Z""}"
106,normalize,date_normalized,"{""event_date"": ""2011-07-25T06:00:00Z""}"
107,normalize,date_normalized,"{""event_date"": ""2011-11-28T07:00:00Z""}"
108,normalize,date_normalized,"{""event_date"": ""2011-10-31T06:00:00Z""}"
109,normalize,date_normalized,"{""event_date"": ""2011-10-17T06:00:00Z""}"
110,normalize,date_normalized,"{""event_date"": ""2012-03-08T07:00:00Z""}"
111,normalize,date_normalized,"{""event_date"": ""2012-03-08T07:00:00Z""}"
112,normalize,date_normalized,"{""event_date"": ""2009-09-17T06:00:00Z""}"
113,normalize,date_normalized,"{""event_date"": ""2010-12-24T07:00:00Z""}"
114,normalize,date_normalized,"{""event_date"": ""2010-04-05T06:00:00Z""}"
115,normalize,date_normalized,"{""event_date"": ""2011-09-21T06:00:00Z""}"
116,normalize,date_normalized,"{""event_date"": ""2012-04-18T06:00:00Z""}"
117,normalize,date_normalized,"{""event_date"": ""2011-07-25T06:00:00Z""}"
118,normalize,date_normalized,"{""event_date"": ""2012-05-02T06:00:00Z""}"
119,normalize,date_normalized,"{""event_date"": ""2011-03-18T06:00:00Z""}"
120,normalize,date_normalized,"{""event_date"": ""2012-05-02T06:00:00Z""}"
121,normalize,date_normalized,"{""event_date"": ""2012-03-08T07:00:00Z""}"
122,normalize,date_normalized,"{""event_date"": ""2011-10-31T06:00:00Z""}"
123,normalize,date_normalized,"{""event_date"": ""2011-05-06T06:00:00Z""}"
124,normalize,date_normalized,"{""event_date"": ""2011-07-18T06:00:00Z""}"
